GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api-giret-resources,com.giret.apigiretresources.service,ResourceServiceImpl,0,92,0,4,0,18,0,14,0,12
api-giret-resources,com.giret.apigiretresources,ApiGiretResourcesApplication,5,3,0,0,2,1,1,1,1,1
api-giret-resources,com.giret.apigiretresources.controller,ResourceController,0,63,0,0,0,11,0,11,0,11
